CorpName,StockCode,DartCode,CurrnetAsset,TotalLiab,MarketValue,NetAsset,NetAsset/MarketValue
디알젬,263690,00966168,54511669124.0,20808243028.0,142702686000,33703426096.0,0.23617933930129387
슈프리마아이디,317770,01231786,41422337975.0,3585683744.0,51460237000,37836654231.0,0.7352600072751316
케이피에스,256940,01037214,49565465004.0,26577412856.0,232626687050,22988052148.0,0.09881949676332288
한솔테크닉스,004710,00157399,420270934989.0,421824816598.0,247246060600,-1553881609.0,-0.006284757804549627
연우,115960,00372253,99829002063.0,74797873327.0,269656500000,25031128736.0,0.09282597948130307
금양,001570,00106119,144681273499.0,152567430276.0,233536729140,-7886156777.0,-0.033768378987069
사조대림,003960,00109718,500935268369.0,680089745166.0,239650812050,-179154476797.0,-0.7475646556942264
우진플라임,049800,00303217,123379851542.0,211366494651.0,87600000000,-87986643109.0,-1.0044137341210047
엔에이치엔,181710,00983271,1121602740980.0,718200757679.0,1841068852500,403401983301.0,0.2191129260338187
디앤씨미디어,263720,01186404,63224478478.0,12584062062.0,477501817900,50640416416.0,0.10605282434046205
엘엠에스,073110,00494218,117126143510.0,108939951055.0,80684497850,8186192455.0,0.1014592973016811
펌텍코리아,251970,00761059,157597882613.0,72313549092.0,218860000000,85284333521.0,0.38967528795120165
지역난방공사,071320,00159698,663092624413.0,4346095312103.0,451571016000,-3683002687690.0,-8.155976706197636
헝셩그룹,900270,01160512,1601498869.0,289555182.0,34880000000,1311943687.0,0.03761306442087156
엔피디,198080,00876643,133712483559.0,121896439489.0,70850758650,11816044070.0,0.16677371273285582
나이스디앤비,130580,00606293,62999859314.0,18312913267.0,146762000000,44686946047.0,0.30448580727299984
우신시스템,017370,00142883,175757744668.0,213930968245.0,76461175450,-38173223577.0,-0.4992497611021228
보라티알,250000,01124680,57853266389.0,29529220108.0,90459822200,28324046281.0,0.31311189423275254
한국큐빅,021650,00160010,75750889502.0,66225701688.0,66955555485,9525187814.0,0.14226135150404243
애니플러스,310200,01335578,25293361122.0,19888463087.0,143167524630,5404898035.0,0.03775226294488458
네오셈,253590,01170865,61370639952.0,41843206593.0,126973178370,19527433359.0,0.15379179768263368
KMH하이텍,052900,00276834,44198201352.0,43819634365.0,90090940270,378566987.0,0.004202053900929943
푸드나무,290720,01259311,56163166486.0,18149880837.0,221536406700,38013285649.0,0.17158933926592393
제이엔케이히터,126880,00442154,136750219678.0,94176831317.0,141317859270,42573388361.0,0.3012597882597405
이엠넷,123570,00616290,85939895557.0,46977573988.0,143235181540,38962321569.0,0.2720164218741144
엔케이맥스,182400,00977650,36948547327.0,84580376788.0,894682733600,-47631829461.0,-0.05323879367755354
대웅,003090,00111810,875860751388.0,782587081023.0,1854729162000,93273670365.0,0.050289644588550446
셀트리온제약,068760,00541349,257168631376.0,270144580388.0,4660228402500,-12975949012.0,-0.002784401941552692
제일파마홀딩스,002620,00148443,373483168084.0,382527284027.0,253177676750,-9044115943.0,-0.03572240672676131
한샘,009240,00161693,525988374656.0,,2423994584000,,
유틸렉스,263050,01110678,60286123453.0,46789797131.0,360671977200,13496326322.0,0.037419947140822675
캠시스,050110,00330044,213853666107.0,207222630092.0,131776050630,6631036015.0,0.050320494378895776
위닉스,044340,00293886,209874714262.0,217065313979.0,365511541250,-7190599717.0,-0.01967270224192955
예림당,036000,00259934,168418876496.0,656956969737.0,49178181395,-488538093241.0,-9.934041466825574
가비아,079940,00506294,127994883431.0,84887321056.0,186792439200,43107562375.0,0.23077787601908462
JW중외제약,001060,00149947,340580533021.0,329826368506.0,505111264700,10754164515.0,0.02129068438294918
대유에이피,290120,01182578,87382611031.0,122092757577.0,66657882170,-34710146546.0,-0.5207208122435912
로체시스템즈,071280,00363486,49347227970.0,47700506418.0,92544448150,1646721552.0,0.01779384484881171
백광산업,001340,00122472,46038030115.0,140796426622.0,235821636750,-94758396507.0,-0.40182231712459693
영림원소프트랩,060850,00532129,34113103292.0,19060931308.0,87814800000,15052171984.0,0.1714081451418212
팅크웨어,084730,00438036,137363211657.0,71003384766.0,213205196900,66359826891.0,0.3112486367868644
일신방직,003200,00146269,460573210093.0,250764446628.0,250800000000,209808763465.0,0.8365580680422647
슈피겐코리아,192440,00917861,224412677251.0,62956177097.0,265438700100,161456500154.0,0.6082628497395961
대한과학,131220,00608316,29460580944.0,11237812225.0,69326757000,18222768719.0,0.26285332687637475
씨에스윈드,112610,00670340,1005603752060.0,420161069396.0,2732706914400,585442682664.0,0.21423544529382554
디티앤씨,187220,00675594,43065626475.0,108041164979.0,76952044620,-64975538504.0,-0.8443640298949603
엠케이전자,033160,00121686,268165023485.0,1083698088726.0,403442246500,-815533065241.0,-2.0214369524164346
태경비케이,014580,00122481,107526172831.0,93997173189.0,142328796000,13528999642.0,0.09505454990288824
한국기업평가,034950,00156956,115033034216.0,52246319141.0,362333017200,62786715075.0,0.173284553420488
일진홀딩스,015860,00146649,547299121273.0,692961999160.0,265489458540,-145662877887.0,-0.5486578589147776
키이스트,054780,00353762,39488473021.0,24987809748.0,219348775800,14500663273.0,0.06610779212290457
에코캡,128540,00870481,59877175793.0,59858981382.0,161602680000,18194411.0,0.00011258730981441644
엘컴텍,037950,00242712,12395244747.0,10252815880.0,105981636345,2142428867.0,0.020215095188998517
디지털대성,068930,00398808,49848458965.0,76401717664.0,286722413960,-26553258699.0,-0.09260963707812667
한국콜마홀딩스,024720,00203290,407084684253.0,426051403915.0,358530676700,-18966719662.0,-0.05290124637750419
메타바이오메드,059210,00317681,53392601108.0,57662728114.0,66337335780,-4270127006.0,-0.06436988998414672
태웅로직스,124560,00562245,138148698330.0,102437456382.0,181692165600,35711241948.0,0.1965480560489285
성보화학,003080,00132725,93621528744.0,31754400397.0,79779700000,61867128347.0,0.7754745674275536
엘아이에스,138690,00670085,54418434690.0,165313599394.0,86479184550,-110895164704.0,-1.2823336075733152
아비코전자,036010,00138598,97099247267.0,33274784447.0,132929340000,63824462820.0,0.4801382660893374
이노테라피,246960,01110182,2929948577.0,7770833751.0,62800090800,-4840885174.0,-0.07708404736892514
넷마블,251270,00904672,1848700432824.0,2734769184425.0,10142513236000,-886068751601.0,-0.08736185312097729
푸드웰,005670,00165103,71844102909.0,55793997577.0,69800000000,16050105332.0,0.22994420246418337
한국카본,017960,00159795,251708736048.0,107441799997.0,481370289150,144266936051.0,0.29970054094062487
